Designator,Mid X,Mid Y,Rotation,Layer
C11,127.85,-109.287715,-90.0,top
J7,172.35,-110.32,180.0,top
C7,161.625,-99.825,180.0,top
U1,166.075,-106.775,0.0,top
C9,125.9,-110.137715,-90.0,top
C4,160.475,-103.875,0.0,top
C16,172.775,-101.975,0.0,top
J6,125.825,-102.5,0.0,top
F1,152.75,-101.7,-90.0,top
C22,141.6,-110.837715,-90.0,top
C1,160.475,-107.275,180.0,top
J5,183.35,-87.0,0.0,top
J2,113.25,-103.6,180.0,top
R10,151.95,-110.025,0.0,top
C17,136.45,-109.887715,180.0,top
J1,113.275,-123.915,180.0,top
J4,183.45,-107.25,0.0,top
C5,164.575,-111.425,0.0,top
D1,146.7,-109.9,180.0,top
C23,153.45,-106.525,-90.0,top
C24,147.6,-101.85,90.0,top
J3,136.6,-96.35,-90.0,top
C14,172.225,-104.225,0.0,top
C13,168.575,-102.025,0.0,top
C20,135.65,-111.787715,0.0,top
R4,140.45,-105.887715,0.0,top
C6,164.175,-113.575,180.0,top
R1,158.725,-109.025,0.0,top
C25,151.95,-111.625,0.0,top
R5,140.45,-104.337715,180.0,top
U2,133.65,-105.037715,0.0,top
U3,147.6,-106.2,180.0,top
R3,136.35,-99.65,-90.0,top
C12,129.9,-98.05,180.0,top
R9,150.7,-106.55,-90.0,top
J8,149.95,-97.0,90.0,top
C21,140.6,-99.0,180.0,top
C8,162.125,-102.075,0.0,top
C2,161.225,-110.425,-90.0,top
C18,139.7,-109.737715,-90.0,top
R8,140.45,-101.237715,180.0,top
R2,158.725,-111.025,0.0,top
C10,129.1,-99.95,180.0,top
C19,144.7,-101.85,-90.0,top
R7,140.45,-102.787715,0.0,top
C15,167.975,-99.825,180.0,top
R6,140.45,-107.437715,180.0,top
C3,160.475,-105.725,180.0,top
